,지역,city
0,용인시청앞,수도권
1,양재동 화물터미널,수도권
2,여의도 공원 문화의 마당,수도권
3,보은군 속리산 말티고개,비수도권
4,진주 광제산 입구 주차장,비수도권
5,태종대공원,비수도권
6,연세대학교정문,비수도권
7,장수종합경기장,수도권
8,화엄사.성산재.중산리,비수도권
9,청풍리조트,비수도권
10,잠실한강공원 청소년광장,비수도권
11,삼척 궁촌항,비수도권
12,순천동천천변공원,비수도권
13,양양군 웰컴센터 및 남대천 일원,비수도권
14,금산군 금산인삼엑스포주차장,비수도권
15,상암월드컵공원 평화광장,수도권
16,금산군 금산인삼엑스포주차장,비수도권
17,울진종합운동장,비수도권
18,"서부시민운동장,봉수로 및 염포",비수도권
19,KTX 광명역 일원,수도권
20,홍주종합경기장,수도권
21,철원군 고석정,비수도권
22,서울 광화문 광장,수도권
23,전주천변,비수도권
24,천안삼거리공원,비수도권
25,장수종합경기장,수도권
26,서산스포츠테마파크,비수도권
27,안동시민운동장,비수도권
28,달서구 호림강나루공원,비수도권
29,봉화공설운동장,비수도권
30,가평종합운동장,수도권
31,포항송도해수욕장,비수도권
32,시청 덕수궁돌담길,수도권
33,세종시 중앙공원 도시축제마당,비수도권
34,아산 신정호 이순신 동상 앞,비수도권
35,해남공설운동장,비수도권
36,화순 금호스파리조트,비수도권
37,거제스포츠파크,비수도권
38,나주종합스포츠파크,비수도권
39,경포해변 중앙광장,비수도권
40,청주 상당구 문의체육원,비수도권
41,광주공항 주변도로,비수도권
42,대청공원,비수도권
43,울산종합운동장(아산로),비수도권
44,유성구 유림공원 및 갑천변,비수도권
45,무안낙지공원,비수도권
46,상암동 월드컵경기장,수도권
47,태화강 둔치,비수도권
48,상주시민운동장,비수도권
49,울주군 영남알프스 일원,비수도권
