대회제목,대회날짜,지역,코스타입,접수상태,홈페이지
제25회 여성마라톤,2025-05-03,평화의공원 평화광장,"10km, 5km, 3km",wait,http://www.womenmarathon.co.kr/
2025 서울 유아차 런,2025-05-03,광화문광장,5km,wait,http://seoulstrollerrun.co.kr/apply/guide.php
제20회 보성 녹차 마라톤,2025-05-03,보성공설운동장,"10km, 5km, 풀, 하프",wait,http://boseong.run1080.com/index.php?sub=sub01_m01_c01
2025 우리은행배 제물포르네상스 국제 마라톤,2025-05-04,인천 상상플랫폼,"10km, 5km",wait,http://run.ito.or.kr
2025 한강 하프 마라톤,2025-05-04,상암월드컵공원 평화광장,"10km, 5km, 하프",wait,http://www.seoulhalfrun.kr/
"제23회 불,수,사,도,북5개산 종주",2025-05-04,원자력병원.백세문,,wait,http://koreatrail.net/home/main.php?link=csno&csno=20170613133750
소아암환우돕기 제22회 서울시민마라톤,2025-05-04,여의도 한강공원 물빛광장,,wait,http://soaam.runningdr.co.kr
제10회 기적의 마라톤 with 이봉주,2025-05-05,대전 유성 도룡동 632,5km,wait,http://todagmarathon.com/online
버닝런 2025(마감),2025-05-06,여의도 한강공원 물빛무대 앞 광장,,wait,http://www.burningrun.co.kr/
제1회 화이트런,2025-05-10,상암동 평화의광장,"10km, 5km",wait,http://whiterun.kr
2025 도시가스 온런 광주,2025-05-10,광주월드컵경기장,"10km, 5km",wait,http://citygasonrun.com
제26회 화성 효 마라톤,2025-05-10,화성종합경기타운,"10km, 5km, 하프",wait,http://hscity-marathon.com/index.php
제18회 대전한밭벌울트라마라톤,2025-05-10,대전시 서구 둔산대로 169,,wait,http://dhultra.kr
BUSAN 50K,2025-05-10,신라대학교 대운동장,,wait,http://busan-50k.imweb.me/
제4회 전국무등산무돌길완주대회,2025-05-10,"광주역광장, 무돌길일원",,wait,http://www.mudolgil518.or.kr/
2025 가정의달 하하호호 마라톤,2025-05-10,안양천 신정교하부육상트랙구장,"10km, 5km",wait,http://xn--o39a84ke5dgxc710an6as16b.kr/
2025 전마협창단24주년기념 금산무료초청마라톤,2025-05-11,금산인삼엑스포주차장,"10km, 5km",wait,http://www.run1080.com/new/mini/index.php?code=1487
2025 전국의병 마라톤,2025-05-11,의령공설운동장,"10km, 5km, 풀, 하프",wait,http://www.urmarathon.com
댕댕트레킹 2025,2025-05-17,정선 하이원,,open,http://dangdangtrekking.com
2025 사랑의 쌀나누기 기금마련마라톤,2025-05-17,안산호수공원 일대 (중앙무대),"10km, 5km",wait,http://ansanmarathon.co.kr
제3회 서울한강울트라마라톤,2025-05-17,서울성북구 석관동 우이천다목적,,wait,http://www.100ultraclub.kr/
2025 서울신문 하프마라톤,2025-05-17,상암 월드컵공원 평화의광장,"10km, 5km, 하프",wait,http://marathon.seoul.co.kr
컬처런 2025 영종국제도시 마라톤,2025-05-17,인천 중구 씨사이드파크 일원(,,wait,http://culturerun.net
2025 무의도구석구석 국제트레일런대회,2025-05-18,하나개해수욕장,,wait,http://cafe.naver.com/matrailrun
제3회 여의도 밤섬마라톤,2025-05-18,여의도공원 문화의마당,"10km, 5km, 하프",wait,http://bamseom.com/
2025 굽네 오븐런 5K,2025-05-18,상암 월드컵공원 평화의 광장,5km,wait,http://runable.me/product/1883?comp=1880
2025 대전 서구청장배 마라톤,2025-05-18,대전엑스포시민광장,"10km, 5km, 하프",wait,http://www.run1080.com/new/mini/index.php?sub=sub01_m02_c01&code=1474
남한산성 트레일런,2025-05-18,산성로타리,,open,http://www.mtrailrun.kr
제 2회 남해 다랑논 마라톤,2025-05-24,남해군 서면 남서대로 2647,"10km, 5km",open,http://runny.world/
제25회 5.18마라톤,2025-05-24,국립5·18민주묘지 광장,"10km, 5km",wait,http://518run.com
2025 라이트업! 키즈레이스,2025-05-24,강남 대치유수지 체육공원,,wait,http://goodrunner.co.kr/product/detail.html?product_no=5405
제30회 바다의 날 마라톤,2025-05-24,상암 평화의 공원 평화광장,"10km, 5km, 하프",wait,http://badamarathon.com
2025 제24회 제주국제울트라마라톤,2025-05-24,제주시 탑동광장,,wait,http://www.kumf.kr
제22회 보령머드임해마라톤,2025-05-24,대천해수욕장1지구 제2주차장,"10km, 5km, 하프",wait,http://brrun.co.kr/
2025 옥스팜 트레일워커,2025-05-24,인제군 일대,,wait,http://www.oxfamtrailwalker.or.kr
제29회 제주국제관광마라톤축제,2025-05-25,구좌생활체육공원,"10km, 풀, 하프",wait,http://jejumarathon.com/main/
2025 백양산숲길건강달리기,2025-05-25,학생문화회관(성지곡),,wait,http://www.bsama.co.kr/
2025 강북구청장배 마라톤,2025-05-25,우이천변(한일병원 건너편),"10km, 5km",wait,http://cafe.daum.net/Kangmaclub/IXtE
2025 구리 유채꽃 마라톤,2025-05-25,구리 한강시민공원,,open,http://guriflowerrun.kr/
2025 무주반딧불 하프 마라톤대회,2025-05-25,무주등나무운동장,"10km, 5km, 하프",wait,http://www.run1080.com/new/mini/index.php?code=1477
2025년 독도수호 동호인마라톤,2025-05-25,경주시 서천둔치,,wait,http://gma1111.org
제5회 영등포구청장배 육상대회 (마감),2025-05-25,안양천 신정교 육상트랙구장,"10km, 5km",open,http://cafe.naver.com/ydprun1/565
제35회지리산화대종주CLIMBATHON,2025-05-25,화엄사3시성삼재4시,,wait,http://www.koreatrail.net/home/main.php?link=csno&csno=20150930092416
런데이 5월 마라톤 [미션RUNDAY],2025-05-31,"전국 어디서나, 런데이 앱에서",,open,http://rundayclub.shopby.co.kr/product-detail?productNo=129667822&preview=true
2025 지구런 : 더 피스로드,2025-05-31,여의도공원 문화의마당,"10km, 5km",wait,http://earthrun.kr
제11회 I LOVE 방송대 마라톤,2025-05-31,상암동 월드컵공원 평화광장,,wait,http://runbs.co.kr
제12회 거제100K,2025-05-31,거제스포츠파크,,wait,http://geoje100.creatorlink.net/
2025 한밭 런앤워크 페스티벌,2025-05-31,대전 엑스포 시민광장,"10km, 5km",wait,http://hrun.co.kr
2025 서천한산모시마라톤,2025-05-31,서천종합운동장,,wait,http://mosirun.co.kr
제18회 강남구 육상연맹 회장배 육상대회,2025-05-31,대치유수지 체육공원,,open,http://comport11.oopy.io/
커피 빵빵런 in 강릉,2025-06-01,강릉 경포호수광장,"10km, 5km",open,http://coffeebbangrun.com
2025 전마협 창단 24주년 기념 월드런 마라톤,2025-06-01,대전엑스포다리 밑 잔디광장,"10km, 5km",wait,http://www.run1080.com/new/mini/index.php?code=1480
제10회 너릿재마라톤,2025-06-01,화순 셀레브 카페 입구,,wait,http://marathonworld.kr/
희망드림-제22회 새벽강변 국제마라톤,2025-06-01,상암동 평화의광장,,wait,http://amarunsb.com/
물사랑낙동강200km울트라마라톤,2025-06-06,을숙도물문화센터,,open,http://www.ndru200.co.kr/
2025 희망 서울 마라톤,2025-06-07,평화의 공원 평화광장,"10km, 5km, 하프",open,http://hoperun.kr/
2025 HARURUN 하루런,2025-06-07,미사경정공원,"10km, 5km",open,http://www.harurun.co.kr
제27회 양평이봉주마라톤겸 경인일보남한강마라톤,2025-06-07,양평강상체육공원,,open,http://www.hangangmarathon.net
SNTR 성남누비길트레일러닝대회,2025-06-07,동서울대학교,,wait,http://ktra.kr
제1회 전주마라톤,2025-06-07,전주월드컵경기장 광장,"10km, 5km",wait,http://jjrun1.kr
2025 춘천봄내마라톤,2025-06-07,춘천시청 앞,"10km, 5km, 하프",open,http://ccpmarathon.kr
제23회 청광종주 TRAILRUNNING,2025-06-07,"양재동화물터미널,하오고개",,open,http://www.koreatrail.net/home/main.php?link=csno&csno=20191016122754
2025 청춘런,2025-06-08,상암동 월드컵경기장,"10km, 5km",open,http://www.youthrun.co.kr/
2025 빵트레일런,2025-06-14,강원도 정선 하이원 리조트,,open,http://bbangtrailrun.com/
2025 인천광역시육상연맹회장배 마라톤대회,2025-06-14,정서진 아라타워 일원,,open,http://incheonmarathon.net
제15회 국민행복마라톤,2025-06-14,서울 뚝섬한강공원 수변광장,"10km, 5km, 하프",open,http://www.irunman.kr
2025 제9회 포항철강마라톤,2025-06-14,포항 영일대 해수욕장 일원,,wait,http://phsteelrun.com
2025 제주오름 트레일러닝,2025-06-14,서귀포시 녹산로,,open,http://www.jejuoreumtrailrunning.com
2025년 제22회 광주빛고을울트라100km마,2025-06-14,광주 광역시청 야외음악당,,open,http://gj100k.org
제2회 긍정의힘 마라톤,2025-06-15,여의도공원 문화의마당,"10km, 5km, 하프",open,http://www.powerrun.kr/
제20회 울릉도 국제 마라톤대회,2025-06-15,울릉 예술 문화 체험장,"10km, 5km, 풀, 하프",wait,http://ulmarathon.co.kr/
2025 김해 숲길마라톤,2025-06-15,김해운동장 및 숲길 일원,"10km, 5km, 하프",wait,http://www.supgil.com
수원트레일레이스,2025-06-15,효행공원,,wait,http://runsuwon.com
<팀재국후원>대전보문산트레일,2025-06-15,오월드주차장,,open,http://www.mtrailrun.kr
제21회 영덕 해변 전국마라톤대회,2025-06-15,고래불해수욕장일원,"10km, 5km, 하프",wait,http://www.runmp.kr
제22회 춘천호반마라톤대회,2025-06-15,춘천시 송암종합운동장,"10km, 5km, 하프",wait,http://kw-marathon.com/
제13회 광명시 육상연맹회장배 건강달리기,2025-06-15,광명찬빛광장,"10km, 5km",wait,http://gmaf.kr/
2025 스피드업 라이트 금산 마라톤 대회,2025-06-21,금산인삼엑스포주차장,,open,http://www.run1080.com/new/mini/index.php?code=1490
제14회 울산태화강울트라마라톤,2025-06-21,태화강둔치(태화다리 밑),,open,http://utu100.kr
2025 월드비전 글로벌 6K 마라톤,2025-06-21,서울 상암 월드컵공원,,wait,http://global6kforwater.com/frt/application/applicationOverview.do?CMPT_AREA_TYPE=1&utm_source=marathononline&utm_medium=referral&utm_campaign=25Running6K
"람사르습지 밤섬런(구, 온에어런)",2025-06-22,여의도공원 문화의마당,10km,open,http://www.bamseomrun.kr
2025 전국블루베리마라톤축제,2025-06-22,정읍시 입암면 대흥초 운동장,,open,http://dhrun.kr
2025 용인마라톤,2025-06-22,용인시청앞,"10km, 5km",open,http://yonginmarathon.net
청계산 일주TRAIL RUNNING,2025-06-22,양재동 화물터미널,10km,open,http://www.koreatrail.net/home/main.php?link=event&einc=eindex&csno=20190812093657&opp=20240621135834
2025 행복안전동행 마라톤,2025-06-28,여의도 공원 문화의 마당,"10km, 5km, 하프",open,http://happysaferun.kr/
2025 보은 속리산 말티재 힐링 알몸 마라톤,2025-06-28,보은군 속리산 말티고개,"10km, 5km",open,http://www.run1080.com/new/mini/index.php?code=1478
2025 광제산 트레일 런,2025-07-13,진주 광제산 입구 주차장,"10km, 5km, 하프",open,http://www.trailrun.kr
2025 태종대전국마라톤,2025-07-20,태종대공원,,open,http://www.bsama.co.kr/
"제7회 안산.인왕산,북악산 climbathon",2025-07-20,연세대학교정문,10km,open,http://koreatrail.net
제2회 쿨밸리 트레일레이스,2025-08-02,장수종합경기장,하프,wait,http://rocknrun.kr
김완기배제36회지리산 화대종주,2025-08-15,화엄사.성산재.중산리,,open,http://koreatrail.net
2025 금수산트레일 러닝대회,2025-08-24,청풍리조트,,open,http://www.runnerking.com
제4회 선샤인 런,2025-08-30,잠실한강공원 청소년광장,"10km, 5km, 하프",open,http://www.irunman.kr
제2회 삼척시장배 단방산 숲길 마라톤,2025-08-30,삼척 궁촌항,,open,http://www.run1080.com/new/mini/index.php?code=1489
제19회 순천만울트라마라톤,2025-09-06,순천동천천변공원,,open,http://www.scultra100.net
2025 양양 강변 전국마라톤,2025-09-13,양양군 웰컴센터 및 남대천 일원,"10km, 5km, 하프",wait,http://yrun.co.kr
2025 금산인삼축제 투데이 마라톤(토),2025-09-13,금산군 금산인삼엑스포주차장,"10km, 5km, 하프",open,http://www.run1080.com/new/mini/index.php?sub=sub01_m02_c01&code=1485
제11회 시각장애인과 함께하는 어울림 마라톤,2025-09-13,상암월드컵공원 평화광장,"10km, 5km",wait,http://www.sbsa.or.kr
2025 금산인삼축제 투데이 마라톤대회 (일),2025-09-14,금산군 금산인삼엑스포주차장,"10km, 5km, 풀, 하프",open,http://www.run1080.com/new/mini/index.php?code=1482
2025 울진금강송배 전국마라톤대회,2025-09-14,울진종합운동장,,open,http://www.ujrun.kr
제4회 울산 동구 염포산 전국마라톤대회,2025-09-14,"서부시민운동장,봉수로 및 염포",,wait,http://염포산마라톤대회.kr
2025 KTX 광명역 평화 마라톤,2025-09-14,KTX 광명역 일원,,wait,http://gmrun.kr/
이봉주 보스턴제패기념 제25회 홍성마라톤,2025-09-20,홍주종합경기장,,open,http://amarunhs.com/
2025 철원DMZ국제평화마라톤,2025-09-21,철원군 고석정,,open,http://dmzrun.co.kr
2025 서울어스마라톤대회,2025-09-21,서울 광화문 광장,"10km, 하프",wait,http://earthmarathon.or.kr
제23회전국부부가족마라톤대회,2025-09-21,전주천변,"10km, 5km",open,http://jjrun.kr
제6회 천안삼거리 흥타령울트라마라톤,2025-09-27,천안삼거리공원,,open,http://www.chultra.kr/
제6회 장수트레일레이스,2025-09-27,장수종합경기장,,wait,http://rocknrun.kr
2025 서산 코스모스 황금들녘 마라톤,2025-09-28,서산스포츠테마파크,"10km, 5km, 하프",open,http://seosanrun.com/
2025 안동마라톤,2025-09-28,안동시민운동장,"10km, 5km, 풀, 하프",open,http://www.admarathon.kr
제19회 달서하프마라톤,2025-09-28,달서구 호림강나루공원,"10km, 5km, 하프",wait,http://www.달서하프마라톤.kr
2025 봉화송이 전국마라톤,2025-09-28,봉화공설운동장,"10km, 5km, 하프",wait,http://bonghwarun.kr
제18회 가평자라섬 전국마라톤대회,2025-09-28,가평종합운동장,,open,http://gprun.com/
2025포항2차전지 전국마라톤대회,2025-09-28,포항송도해수욕장,"10km, 5km, 하프",open,http://energyrun.co.kr
제2회 울트라서울,2025-10-03,시청 덕수궁돌담길,,open,http://surally2406.webmaker21.kr/competition/outline?ca_id=02&wm_id=15
2025 한글런,2025-10-09,세종시 중앙공원 도시축제마당,,open,http://hangeulrun.com
제1회 아산 이순신 트레일런 대회,2025-10-11,아산 신정호 이순신 동상 앞,,open,http://isunshintrail.com
2025 해남 땅끝 전국마라톤,2025-10-11,해남공설운동장,"10km, 5km, 풀, 하프",open,http://haenam.run1080.com/
제4회 무등산권 GEO 무등산마라톤대회,2025-10-11,화순 금호스파리조트,,open,http://www.georun.kr/ko/
제8회 거제시장배 섬꽃 전국 마라톤,2025-10-12,거제스포츠파크,"10km, 5km, 하프",open,http://www.geojerun.com/
2025 MBN 전국 나주 마라톤,2025-10-12,나주종합스포츠파크,,open,http://najumbnmarathon.com
2025 경포마라톤,2025-10-18,경포해변 중앙광장,"10km, 5km, 하프",open,http://www.경포마라톤.com
제23회 청원생명쌀대청호마라톤,2025-10-18,청주 상당구 문의체육원,"10km, 5km, 풀, 하프",open,http://race.cjsports.or.kr
제14회 광주평화통일마라톤,2025-10-19,광주공항 주변도로,"10km, 5km, 하프",wait,http://www.gjtongilmarathon.org/
제24회 대청호마라톤,2025-10-19,대청공원,"10km, 5km, 하프",open,http://dcmarathon.or.kr
2025 제26회 울산마라톤,2025-10-19,울산종합운동장(아산로),"10km, 5km, 하프",wait,http://ulsan.run
제7회 유성국화마라톤,2025-10-26,유성구 유림공원 및 갑천변,"10km, 5km",wait,http://ysrun.co.kr/
2025무안해안 노을길 전국걷기 및 마라톤대회,2025-11-01,무안낙지공원,"10km, 5km",open,http://www.run1080.com/new/mini/index.php?sub=sub01_m01_c01&code=1493
2025 jtbc 서울마라톤,2025-11-02,상암동 월드컵경기장,"10km, 풀",wait,http://marathon.jtbc.com
제20회 울산인권마라톤,2025-11-16,태화강 둔치,"10km, 5km, 하프",wait,http://www.humanrun.org
제23회 상주 곶감 마라톤대회,2025-11-16,상주시민운동장,,open,http://www.sangjugotgommarathon.com/
제3회 영남알프스 전국 하프마라톤,2025-11-30,울주군 영남알프스 일원,"10km, 5km, 하프",wait,http://영남알프스.kr
